Time	RS0	RS1	L0R	L0G	L0B	L1R	L1G	L1B	L2R	L2G	L2B	
0	0.7%	0.0%	0	0	0	0	0	0	0	0	0	
1	7.3%	0.0%	255	255	255	0	0	0	0	0	0	
2	14.0%	6.7%	255	255	255	0	0	0	0	0	0	
3	20.7%	13.3%	0	255	0	0	0	0	0	0	0	
4	20.7%	20.0%	0	255	0	0	0	0	0	0	0	
5	20.7%	26.7%	0	255	0	255	255	255	255	255	255	
6	20.7%	20.0%	0	255	0	255	255	255	255	255	255	
7	20.7%	13.3%	0	255	0	0	0	255	0	0	255	
8	20.7%	20.0%	0	255	0	0	0	255	0	0	255	
10	20.7%	33.3%	0	255	0	0	0	255	0	0	255	
12	20.7%	20.0%	0	255	0	0	0	255	0	0	255	
14	20.7%	33.3%	0	255	0	0	0	255	0	0	255	
15	20.7%	33.3%	0	255	0	0	0	255	0	0	255	
16	20.7%	33.3%	0	255	0	0	0	0	0	0	0	
17	20.7%	33.3%	0	0	0	0	0	0	0	0	0	
